year,date,round,home_team,away_team,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_second_yellow_reds,away_second_yellow_reds,data_available,total_yellow_cards,total_red_cards
1986,1986-06-02,Group stage,Morocco,Poland,1,0,0,0,0.0,0.0,True,1,0
1986,1986-06-01,Group stage,Spain,Brazil,1,1,0,0,0.0,0.0,True,2,0
1986,1986-06-01,Group stage,Canada,France,0,0,0,0,0.0,0.0,False,0,0
1986,1986-05-31,Group stage,Bulgaria,Italy,1,2,0,0,0.0,0.0,True,3,0
1982,1982-07-11,Final,Italy,West Germany,2,3,0,0,0.0,0.0,True,5,0
1982,1982-07-10,Third-place match,Poland,France,2,1,0,0,0.0,0.0,True,3,0
1982,1982-07-08,Semi-finals,Poland,Italy,3,1,0,0,0.0,0.0,True,4,0
1982,1982-07-08,Semi-finals,West Germany,France,1,2,0,0,0.0,0.0,True,3,0
1982,1982-07-05,Second group stage,Italy,Brazil,2,0,0,0,0.0,0.0,True,2,0
1982,1982-07-05,Second group stage,Spain,England,0,1,0,0,0.0,0.0,True,1,0
1982,1982-07-04,Second group stage,France,Northern Ireland,1,1,0,0,0.0,0.0,True,2,0
1982,1982-07-04,Second group stage,Poland,Soviet Union,2,3,0,0,0.0,0.0,True,5,0
1982,1982-07-02,Second group stage,Argentina,Brazil,1,2,1,0,0.0,0.0,True,3,1
1982,1982-07-02,Second group stage,West Germany,Spain,2,3,0,0,0.0,0.0,True,5,0
1982,1982-07-01,Second group stage,Austria,Northern Ireland,1,0,0,0,0.0,0.0,True,1,0
1982,1982-07-01,Second group stage,Belgium,Soviet Union,0,1,0,0,0.0,0.0,True,1,0
1982,1982-06-29,Second group stage,Italy,Argentina,2,3,0,1,0.0,0.0,True,5,1
1982,1982-06-29,Second group stage,West Germany,England,1,0,0,0,0.0,0.0,True,1,0
1982,1982-06-28,Second group stage,Austria,France,1,0,0,0,0.0,0.0,True,1,0
1982,1982-06-28,Second group stage,Poland,Belgium,1,0,0,0,0.0,0.0,True,1,0
1982,1982-06-25,First group stage,England,Kuwait,1,1,0,0,0.0,0.0,True,2,0
1982,1982-06-25,First group stage,West Germany,Austria,0,2,0,0,0.0,0.0,True,2,0
1982,1982-06-25,First group stage,Northern Ireland,Spain,2,1,1,0,0.0,0.0,True,3,1
1982,1982-06-24,First group stage,France,Czechoslovakia,1,1,0,1,0.0,0.0,True,2,1
1982,1982-06-24,First group stage,Algeria,Chile,0,1,0,0,0.0,0.0,True,1,0
1982,1982-06-24,First group stage,Honduras,Yugoslavia,1,1,1,0,0.0,0.0,True,2,1
1982,1982-06-23,First group stage,Italy,Cameroon,1,1,0,0,0.0,0.0,True,2,0
1982,1982-06-23,First group stage,Argentina,El Salvador,2,3,0,0,0.0,0.0,True,5,0
1982,1982-06-23,First group stage,Brazil,New Zealand,0,0,0,0,0.0,0.0,False,0,0
1982,1982-06-22,First group stage,Poland,Peru,0,1,0,0,0.0,0.0,True,1,0
1982,1982-06-22,First group stage,Belgium,Hungary,2,0,0,0,0.0,0.0,True,2,0
1982,1982-06-22,First group stage,Soviet Union,Scotland,0,1,0,0,0.0,0.0,True,1,0
1982,1982-06-21,First group stage,Algeria,Austria,1,0,0,0,0.0,0.0,True,1,0
1982,1982-06-21,First group stage,France,Kuwait,1,2,0,0,0.0,0.0,True,3,0
1982,1982-06-21,First group stage,Honduras,Northern Ireland,0,0,0,0,0.0,0.0,False,0,0
1982,1982-06-20,First group stage,West Germany,Chile,0,2,0,0,0.0,0.0,True,2,0
